,Lokasi,Fasilitas
95,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
126,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
120,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
67,Lowokwaru,"WiFi, Akses 24 Jam"
101,Lowokwaru,"Kasur, Akses 24 Jam"
68,Lowokwaru,"WiFi, Kasur"
108,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
84,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
117,Lowokwaru,WiFi
194,Lowokwaru,"Kasur, Akses 24 Jam"
177,Lowokwaru,"Kasur, Akses 24 Jam"
111,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
29,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
124,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
75,Lowokwaru,"WiFi, Kasur"
82,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
5,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
56,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
164,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
159,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
97,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
65,Sukun,"WiFi, Kasur, Akses 24 Jam"
212,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
208,Klojen,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam"
142,Sukun,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
31,Klojen,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
12,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
35,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
28,Lowokwaru,"Kloset Duduk, Kasur, Akses 24 Jam"
42,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam"
223,Klojen,"K. Mandi Dalam, Kasur"
148,Lowokwaru,"WiFi, Kasur"
161,Lowokwaru,Kasur
51,Lowokwaru,"WiFi, Akses 24 Jam"
137,Lowokwaru,"WiFi, Kloset Duduk, Kasur"
190,Lowokwaru,"K. Mandi Dalam, Kloset Duduk, Kasur"
76,Lowokwaru,"WiFi, Kasur"
41,Blimbing,"WiFi, Kasur, Akses 24 Jam"
162,Lowokwaru,"K. Mandi Dalam, Kasur"
146,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
78,Klojen,"WiFi, Kasur, Akses 24 Jam"
141,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
26,Lowokwaru,"WiFi, AC, Kasur, Akses 24 Jam"
231,Lowokwaru,"Kasur, Akses 24 Jam"
215,Lowokwaru,"Kloset Duduk, Kasur, Akses 24 Jam"
238,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur"
132,Lowokwaru,"WiFi, Kasur"
0,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
2,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
77,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur"
46,Klojen,"WiFi, Kasur, Akses 24 Jam"
100,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
119,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur"
144,Lowokwaru,"Kloset Duduk, Kasur, Akses 24 Jam"
173,Lowokwaru,"WiFi, Kasur"
90,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
85,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
167,Klojen,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur"
158,Lowokwaru,"Kasur, Akses 24 Jam"
98,Klojen,"WiFi, Kasur, Akses 24 Jam"
36,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
140,Sukun,"WiFi, Kasur, Akses 24 Jam"
61,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
22,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
118,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur"
155,Blimbing,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam"
196,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
33,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
11,Lowokwaru,"WiFi, Kloset Duduk, Kasur"
234,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
27,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
147,Lowokwaru,"WiFi, Kasur"
4,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
122,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur"
32,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
138,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
170,Lowokwaru,"Kloset Duduk, Kasur"
62,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
135,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
128,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
216,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
180,Sukun,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
70,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
183,Lowokwaru,"Kasur, Akses 24 Jam"
64,Lowokwaru,Kasur
44,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
154,Sukun,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
40,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur"
123,Lowokwaru,"Kasur, Akses 24 Jam"
23,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
178,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
197,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
81,Lowokwaru,"WiFi, Kloset Duduk, Kasur"
39,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
200,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
47,Sukun,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
94,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
181,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
43,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam"
145,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
226,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
3,Lowokwaru,Kasur
105,Lowokwaru,"WiFi, Kasur"
53,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
133,Sukun,"Kloset Duduk, Kasur"
217,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
184,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
222,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
49,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
163,Lowokwaru,"WiFi, Kloset Duduk, Kasur"
80,Lowokwaru,"K. Mandi Dalam, Kasur, Akses 24 Jam"
34,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
7,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
171,Sukun,"K. Mandi Dalam, Kasur, Akses 24 Jam"
110,Klojen,"WiFi, Kasur, Akses 24 Jam"
91,Sukun,Kasur
83,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
213,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam"
218,Klojen,"Kasur, Akses 24 Jam"
89,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam"
8,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
13,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
59,Lowokwaru,"K. Mandi Dalam, Kloset Duduk, Akses 24 Jam"
205,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
131,Lowokwaru,"WiFi, Kloset Duduk, Kasur"
17,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
166,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
72,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
229,Klojen,"WiFi, Kasur, Akses 24 Jam"
134,Lowokwaru,"Kasur, Akses 24 Jam"
195,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
220,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
63,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur"
54,Lowokwaru,"Kloset Duduk, Kasur"
107,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
50,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
198,Lowokwaru,"WiFi, Kloset Duduk, Kasur"
174,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
199,Lowokwaru,"WiFi, Kasur"
189,Lowokwaru,"Kasur, Akses 24 Jam"
236,Lowokwaru,"K. Mandi Dalam, Kloset Duduk, Kasur, Akses 24 Jam"
211,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
169,Sukun,"WiFi, Kasur"
58,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
48,Lowokwaru,"Kasur, Akses 24 Jam"
88,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
21,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
57,Klojen,"WiFi, Kasur"
203,Lowokwaru,"Kasur, Akses 24 Jam"
160,Lowokwaru,"WiFi, Kasur"
232,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
187,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
191,Lowokwaru,"Kasur, Akses 24 Jam"
129,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
37,Lowokwaru,"WiFi, Kloset Duduk, Kasur"
157,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
225,Lowokwaru,"Kasur, Akses 24 Jam"
1,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
52,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
149,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
130,Lowokwaru,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
151,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
103,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
99,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
116,Lowokwaru,"Kasur, Akses 24 Jam"
87,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
202,Lowokwaru,"Kloset Duduk, Kasur, Akses 24 Jam"
74,Lowokwaru,"WiFi, Kasur"
214,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
210,Lowokwaru,"WiFi, Kasur"
121,Sukun,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
239,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
20,Lowokwaru,"WiFi, Kasur, Akses 24 Jam"
188,Lowokwaru,"WiFi, Kloset Duduk, Kasur"
71,Klojen,"K. Mandi Dalam, Kloset Duduk, Kasur"
106,Lowokwaru,"Kasur, Akses 24 Jam"
14,Klojen,"K. Mandi Dalam, WiFi, Kloset Duduk, Kasur, Akses 24 Jam"
92,Klojen,"Kasur, Akses 24 Jam"
179,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam"
102,Klojen,"WiFi, Kasur"
